table_name,column_name,data_type,udt_name,is_nullable,column_default,key_type
class_sessions,class_id,uuid,uuid,NO,gen_random_uuid(),PK
class_sessions,week_id,uuid,uuid,NO,null,
class_sessions,name,text,text,NO,null,
class_sessions,description,text,text,YES,null,
class_sessions,class_type,text,text,NO,null,
class_sessions,start_at,timestamp with time zone,timestamptz,NO,null,
class_sessions,end_at,timestamp with time zone,timestamptz,NO,null,
class_sessions,max_students,integer,int4,YES,null,
class_sessions,status,text,text,NO,'scheduled'::text,
class_sessions,meeting_url,text,text,YES,null,
class_sessions,location,text,text,YES,null,
class_sessions,created_at,timestamp with time zone,timestamptz,NO,now(),
class_sessions,updated_at,timestamp with time zone,timestamptz,NO,now(),
curricula,curriculum_id,uuid,uuid,NO,gen_random_uuid(),PK
curricula,name,text,text,NO,null,
curricula,description,text,text,YES,null,
curricula,duration_weeks,integer,int4,YES,null,
curricula,cover_image_url,text,text,YES,null,
curricula,status,text,text,NO,'draft'::text,
curricula,created_at,timestamp with time zone,timestamptz,NO,now(),
curricula,updated_at,timestamp with time zone,timestamptz,NO,now(),
curricula,active,boolean,bool,YES,true,
curriculum_week_recipes,week_id,uuid,uuid,NO,null,PK
curriculum_week_recipes,recipe_id,uuid,uuid,NO,null,PK
curriculum_week_recipes,sort_order,integer,int4,NO,0,
curriculum_week_recipes,created_at,timestamp with time zone,timestamptz,NO,now(),
curriculum_weeks,week_id,uuid,uuid,NO,gen_random_uuid(),PK
curriculum_weeks,curriculum_id,uuid,uuid,NO,null,
curriculum_weeks,week_number,integer,int4,NO,null,
curriculum_weeks,title,text,text,NO,null,
curriculum_weeks,description,text,text,YES,null,
curriculum_weeks,publish_at,timestamp with time zone,timestamptz,YES,null,
curriculum_weeks,status,text,text,NO,'draft'::text,
curriculum_weeks,created_at,timestamp with time zone,timestamptz,NO,now(),
curriculum_weeks,updated_at,timestamp with time zone,timestamptz,NO,now(),
enrollments,enrollment_id,uuid,uuid,NO,gen_random_uuid(),PK
enrollments,student_id,uuid,uuid,NO,null,
enrollments,curriculum_id,uuid,uuid,NO,null,
enrollments,status,text,text,NO,'active'::text,
enrollments,enrolled_at,timestamp with time zone,timestamptz,NO,now(),
enrollments,completed_at,timestamp with time zone,timestamptz,YES,null,
enrollments,created_at,timestamp with time zone,timestamptz,NO,now(),
enrollments,updated_at,timestamp with time zone,timestamptz,NO,now(),
ingredients,ingredient_id,uuid,uuid,NO,gen_random_uuid(),PK
ingredients,name,text,text,NO,null,
ingredients,normalized_name,text,text,NO,null,
ingredients,category,text,text,YES,null,
ingredients,created_at,timestamp with time zone,timestamptz,NO,now(),
ingredients,updated_at,timestamp with time zone,timestamptz,NO,now(),
recipe_ingredients,recipe_ingredient_id,uuid,uuid,NO,gen_random_uuid(),PK
recipe_ingredients,recipe_id,uuid,uuid,NO,null,
recipe_ingredients,ingredient_id,uuid,uuid,NO,null,
recipe_ingredients,quantity,numeric,numeric,YES,null,
recipe_ingredients,unit,text,text,YES,null,
recipe_ingredients,preparation,text,text,YES,null,
recipe_ingredients,notes,text,text,YES,null,
recipe_ingredients,sort_order,integer,int4,NO,0,
recipe_ingredients,created_at,timestamp with time zone,timestamptz,NO,now(),
recipes,recipe_id,uuid,uuid,NO,gen_random_uuid(),PK
recipes,name,text,text,NO,null,
recipes,description,text,text,YES,null,
recipes,prep_time_minutes,integer,int4,YES,null,
recipes,cook_time_minutes,integer,int4,YES,null,
recipes,servings,integer,int4,YES,null,
recipes,instructions,text,text,YES,null,
recipes,image_url,text,text,YES,null,
recipes,pdf_url,text,text,YES,null,
recipes,status,text,text,NO,'draft'::text,
recipes,created_at,timestamp with time zone,timestamptz,NO,now(),
recipes,updated_at,timestamp with time zone,timestamptz,NO,now(),
recipes,active,boolean,bool,YES,true,
users,user_id,uuid,uuid,NO,null,PK
users,first_name,text,text,NO,null,
users,last_name,text,text,NO,null,
users,email,text,text,NO,null,
users,phone,text,text,YES,null,
users,role,text,text,NO,null,
users,created_at,timestamp with time zone,timestamptz,NO,now(),
users,updated_at,timestamp with time zone,timestamptz,NO,now(),
